TIC ID,class,confidence
296429708,Delta Scuti,0.99144065
119693578,Delta Scuti,0.99141556
70092417,Delta Scuti,0.99140692
83532054,Delta Scuti,0.99139965
125174457,Delta Scuti,0.991378307
261108013,Delta Scuti,0.99137598
451111420,Delta Scuti,0.99136704
238830991,Delta Scuti,0.99136543
456850079,Delta Scuti,0.9913106
37996204,Delta Scuti,0.99126935
310000381,Delta Scuti,0.99120563
261203891,Delta Scuti,0.99118865
235548392,Delta Scuti,0.99118716
428860793,Delta Scuti,0.991175771
215582288,Delta Scuti,0.99116057
376687314,Delta Scuti,0.99116057
285026194,Delta Scuti,0.9911445
306179642,Delta Scuti,0.9911021
445266504,Delta Scuti,0.991101205
436167001,Delta Scuti,0.99106824
91618070,Delta Scuti,0.991045
428860793,Delta Scuti,0.99101275
377049136,Delta Scuti,0.99099559
386154220,Delta Scuti,0.99099475
3960276,Delta Scuti,0.99092031
123151282,Delta Scuti,0.99090403
16771560,Delta Scuti,0.99087685
150437899,Delta Scuti,0.99079317
125666345,Delta Scuti,0.99076825
261108013,Delta Scuti,0.99076182
436057010,Delta Scuti,0.99073374
150437899,Delta Scuti,0.99065769
114603620,Delta Scuti,0.99059403
83532054,Delta Scuti,0.99058062
167208552,Delta Scuti,0.99057335
286459146,Delta Scuti,0.99056679
53173467,Delta Scuti,0.99055052
261108013,Delta Scuti,0.99050468
150437899,Delta Scuti,0.99045485
417809261,Delta Scuti,0.990432322
454245960,Delta Scuti,0.99038398
201175605,Delta Scuti,0.99037546
394015973,Delta Scuti,0.99036509
57976388,Delta Scuti,0.99033725
58475194,Delta Scuti,0.9903329
83532054,Delta Scuti,0.99033207
18550162,Delta Scuti,0.99029583
298430798,Delta Scuti,0.99028945
142140720,Delta Scuti,0.99027795
175475830,Delta Scuti,0.9902721
138056415,Delta Scuti,0.9902643
320842011,Delta Scuti,0.990241826
309854196,Delta Scuti,0.99022454
45245048,Delta Scuti,0.99019718
209102186,Delta Scuti,0.99018353
159191044,Delta Scuti,0.99014318
73352377,Delta Scuti,0.99010706
328304978,Delta Scuti,0.99010158
184181455,Delta Scuti,0.99009818
402961709,Delta Scuti,0.99008894
293392956,Delta Scuti,0.99005216
17811619,Delta Scuti,0.99003357
83461344,Delta Scuti,0.98998988
394219551,Delta Scuti,0.98998547
402534936,Delta Scuti,0.98996907
74832277,Delta Scuti,0.98994875
164586382,Delta Scuti,0.98991382
461540453,Delta Scuti,0.98990178
315810130,Delta Scuti,0.98986369
108650574,Delta Scuti,0.98985541
83368782,Delta Scuti,0.98984867
452982723,Delta Scuti,0.98983711
272811813,Delta Scuti,0.98983347
10536613,Delta Scuti,0.98980671
88569358,Delta Scuti,0.98977125
19847200,Delta Scuti,0.98975474
5392693,Delta Scuti,0.98974669
49187161,Delta Scuti,0.9897176
377049136,Delta Scuti,0.98966718
85623308,Delta Scuti,0.98966205
150437899,Delta Scuti,0.9896577
33409358,Delta Scuti,0.98965693
315810130,Delta Scuti,0.98963797
83461344,Delta Scuti,0.989631
309623153,Delta Scuti,0.98962784
138285753,Delta Scuti,0.98961151
57976388,Delta Scuti,0.98960471
234083479,Delta Scuti,0.98955148
310000381,Delta Scuti,0.98954576
106750355,Delta Scuti,0.989505351
364508486,Delta Scuti,0.98949558
310000381,Delta Scuti,0.98948574
67331247,Delta Scuti,0.98944634
192626655,Delta Scuti,0.98940724
435976519,Delta Scuti,0.98937923
444005912,Delta Scuti,0.98931319
73632752,Delta Scuti,0.98924911
469259182,Delta Scuti,0.98922056
142055255,Delta Scuti,0.989204764
67331247,Delta Scuti,0.98920268
417916452,Delta Scuti,0.98919171
363904185,Delta Scuti,0.98918849
376977674,Delta Scuti,0.98915392
91557311,Delta Scuti,0.98914695
41211703,Delta Scuti,0.98909575
150975818,Delta Scuti,0.98909491
165329005,Delta Scuti,0.989093304
402415889,Delta Scuti,0.98907173
31849805,Delta Scuti,0.98906577
367143296,Delta Scuti,0.98905468
91615630,Delta Scuti,0.98905063
435710525,Delta Scuti,0.98899323
167319572,Delta Scuti,0.988986731
199550589,Delta Scuti,0.988927007
310000381,Delta Scuti,0.98892128
162159860,Delta Scuti,0.98888224
268330767,Delta Scuti,0.988877714
3664782,Delta Scuti,0.98887604
417916452,Delta Scuti,0.988870382
36864008,Delta Scuti,0.98886079
419091281,Delta Scuti,0.98885185
261108013,Delta Scuti,0.98883772
61474606,Delta Scuti,0.98883384
150437899,Delta Scuti,0.98883128
447438857,Delta Scuti,0.98879868
373210707,Delta Scuti,0.98873562
333621753,Delta Scuti,0.988714397
158632599,Delta Scuti,0.98867011
91557311,Delta Scuti,0.98864532
296213123,Delta Scuti,0.98856109
158632599,Delta Scuti,0.98850507
226028695,Delta Scuti,0.98850495
24539889,Delta Scuti,0.9885034
150437899,Delta Scuti,0.98850071
432206235,Delta Scuti,0.98849118
234611773,Delta Scuti,0.98843646
123029418,Delta Scuti,0.98842001
92196687,Delta Scuti,0.98841023
101580331,Delta Scuti,0.9882912
319905236,Delta Scuti,0.98828608
256074437,Delta Scuti,0.988240123
431883737,Delta Scuti,0.988224268
175381058,Delta Scuti,0.98819762
43795583,Delta Scuti,0.98817992
367551618,Delta Scuti,0.98813814
128022104,Delta Scuti,0.98807216
184255523,Delta Scuti,0.98806179
282051545,Delta Scuti,0.98804712
150437899,Delta Scuti,0.98801303
418733264,Delta Scuti,0.98799986
318163050,Delta Scuti,0.98799264
82201419,Delta Scuti,0.98798627
270737821,Delta Scuti,0.98796171
360638053,Delta Scuti,0.98794413
123931553,Delta Scuti,0.98791921
367401850,Delta Scuti,0.98791111
158787200,Delta Scuti,0.98790771
58440894,Delta Scuti,0.98789424
367916769,Delta Scuti,0.98788106
397522881,Delta Scuti,0.98783314
58440894,Delta Scuti,0.98783046
356528601,Delta Scuti,0.987824678
309623153,Delta Scuti,0.98777664
123102123,Delta Scuti,0.98775232
19847200,Delta Scuti,0.98775136
90475275,Delta Scuti,0.98774892
175667595,Delta Scuti,0.98771453
138056415,Delta Scuti,0.98768914
251065571,Delta Scuti,0.98768312
139481694,Delta Scuti,0.98762089
154566747,Delta Scuti,0.98760521
8170267,Delta Scuti,0.98759651
224544751,Delta Scuti,0.98751605
150437899,Delta Scuti,0.98746359
441936235,Delta Scuti,0.987445
414207423,Delta Scuti,0.98741734
309623153,Delta Scuti,0.987413764
444769894,Delta Scuti,0.98739493
66826104,Delta Scuti,0.98728442
426821925,Delta Scuti,0.98727381
261203891,Delta Scuti,0.98725468
205535890,Delta Scuti,0.98723429
32924586,Delta Scuti,0.98721004
142082235,Delta Scuti,0.98718458
100013759,Delta Scuti,0.98717028
234064016,Delta Scuti,0.98716891
27333497,Delta Scuti,0.98716742
242569744,Delta Scuti,0.98709339
444005912,Delta Scuti,0.98703837
41211703,Delta Scuti,0.98703045
318090762,Delta Scuti,0.987023115
344403076,Delta Scuti,0.9870171
284525374,Delta Scuti,0.98698449
234516307,Delta Scuti,0.9868499
310309046,Delta Scuti,0.98680615
172083639,Delta Scuti,0.98680103
377049136,Delta Scuti,0.98679972
262202871,Delta Scuti,0.98679751
117418088,Delta Scuti,0.9867236
261108013,Delta Scuti,0.98670864
242611698,Delta Scuti,0.98670447
376977674,Delta Scuti,0.98670363
43358373,Delta Scuti,0.98667151
234516307,Delta Scuti,0.98666745
461540453,Delta Scuti,0.986637592
435680711,Delta Scuti,0.98656845
435916016,Delta Scuti,0.98650658
210843446,Delta Scuti,0.98650438
76638479,Delta Scuti,0.98650312
377049136,Delta Scuti,0.98649675
114603620,Delta Scuti,0.98648876
368837390,Delta Scuti,0.98645872
435680711,Delta Scuti,0.98645604
59608614,Delta Scuti,0.986438751
355915039,Delta Scuti,0.98643458
16053262,Delta Scuti,0.98641157
281615144,Delta Scuti,0.98640311
385114229,Delta Scuti,0.98638654
77890959,Delta Scuti,0.98635024
293392956,Delta Scuti,0.98629773
114603620,Delta Scuti,0.98629087
385589694,Delta Scuti,0.98628783
142082235,Delta Scuti,0.98626477
276345283,Delta Scuti,0.98624057
31645465,Delta Scuti,0.9862358
307980547,Delta Scuti,0.986214936
58440894,Delta Scuti,0.98620713
167634382,Delta Scuti,0.986168683
166808854,Delta Scuti,0.986053109
377047956,Delta Scuti,0.98604739
91481087,Delta Scuti,0.98603255
231632822,Delta Scuti,0.98603129
29521574,Delta Scuti,0.98597032
33045250,Delta Scuti,0.98594332
142082235,Delta Scuti,0.98589921
269065746,Delta Scuti,0.98588294
426535014,Delta Scuti,0.985859096
376977674,Delta Scuti,0.985820532
385589694,Delta Scuti,0.98581064
376977674,Delta Scuti,0.9857778
234293950,Delta Scuti,0.985750675
274511577,Delta Scuti,0.98569393
372106996,Delta Scuti,0.98557252
58715647,Delta Scuti,0.98554695
100013759,Delta Scuti,0.98553675
14612516,Delta Scuti,0.98552728
360753689,Delta Scuti,0.985514879
393887753,Delta Scuti,0.9855004
393573334,Delta Scuti,0.98547912
7815472,Delta Scuti,0.98547125
397522881,Delta Scuti,0.98546475
298430798,Delta Scuti,0.985379755
99934473,Delta Scuti,0.98537666
384399917,Delta Scuti,0.9853667
352229000,Delta Scuti,0.985308349
432009119,Delta Scuti,0.98529601
261108013,Delta Scuti,0.98526853
76638479,Delta Scuti,0.9851622
431479727,Delta Scuti,0.98515803
331202251,Delta Scuti,0.985099375
19847200,Delta Scuti,0.98505813
215582288,Delta Scuti,0.985032856
284677085,Delta Scuti,0.98502731
114551874,Delta Scuti,0.98502296
57976388,Delta Scuti,0.985015213
158632599,Delta Scuti,0.9849996
352229000,Delta Scuti,0.98492199
385114229,Delta Scuti,0.98491216
268052589,Delta Scuti,0.98485929
91557311,Delta Scuti,0.98484159
412393952,Delta Scuti,0.98481917
417916452,Delta Scuti,0.984738708
309623153,Delta Scuti,0.98471409
337604655,Delta Scuti,0.98471087
294097368,Delta Scuti,0.98470807
193620391,Delta Scuti,0.98466682
394015973,Delta Scuti,0.98465204
264692072,Delta Scuti,0.98464417
235124533,Delta Scuti,0.98455608
453218578,Delta Scuti,0.984494746
169168772,Delta Scuti,0.9843002
86751871,Delta Scuti,0.984294
36773878,Delta Scuti,0.98421288
377049136,Delta Scuti,0.98420006
154566747,Delta Scuti,0.98419422
461370803,Delta Scuti,0.9841904
394134559,Delta Scuti,0.98416811
83461344,Delta Scuti,0.9841367
33409358,Delta Scuti,0.98408127
360620447,Delta Scuti,0.984055996
192334221,Delta Scuti,0.984003842
24949148,Delta Scuti,0.98399574
91619889,Delta Scuti,0.98399413
53173467,Delta Scuti,0.98398292
293578055,Delta Scuti,0.98396415
285149078,Delta Scuti,0.98393494
217957686,Delta Scuti,0.9839282
331202251,Delta Scuti,0.98391587
